name,address,coords,main_dish,price,meal_type,cuisine_suggestion,calo_estimate(kcal)
Nhà hàng chay Sanité,"46 Trương Quốc Dung, Phú Nhuận, Hồ Chí Minh 72200, Việt Nam","10.79703010407631, 106.67248426971918",Gỏi bắp trứng muối,120000,Healhy meal,Vietnamese,320
Quán Cô Hồng - Bình Thạnh,"44 Trương Quốc Dung, Phú Nhuận, Hồ Chí Minh, Việt Nam","10.79691223677803, 106.67247150480826",Cá nục bông hấp cuốn rau,100000,Full meal,Vietnamese,350
"Bếp Quà Sáng – Xôi, Bún, Phở Hà Nội","35 Hoàng Diệu, Phú Nhuận, Hồ Chí Minh 72252, Việt Nam","10.79595894877131, 106.67065521595893",Xôi xéo,40000,Full meal,Vietnamese,550
HKT COFFEE 2,"19 Đ. Đặng Văn Ngữ, Phú Nhuận, Hồ Chí Minh, Việt Nam","10.795831467333134, 106.66984619589145",Bò bít tết,45000,Full meal,Vietnamese,700
BẾP HT,"84a/34 Đ. Trần Hữu Trang, Phú Nhuận, Hồ Chí Minh, Việt Nam","10.794428406187004, 106.67196518484998",Cơm tấm,40000,Full meal,Vietnamese,650
Tiệm Ăn Nhà Mến,"80/14 Đ. Đặng Văn Ngữ, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam","10.794957898961709, 106.6689842833733",Chả mực Hạ Long,80000,Snack,Vietnamese,350
Phở Bắc Hải (Phở Khởi),"295 Nguyễn Trọng Tuyển, Phú Nhuận, Hồ Chí Minh, Việt Nam","10.798058456038245, 106.67002801560044",Phở bò,50000,Full meal,Vietnamese,450
Quán Ruốc,"298/3 Nguyễn Trọng Tuyển, Tân Sơn Hòa, Hồ Chí Minh, Việt Nam","10.79883209162493, 106.66863757831055",Bún giấm nuốc,120000,Full meal,Vietnamese,430
Ikigai Sushi,"236 Nguyễn Trọng Tuyển, Phú Nhuận, Hồ Chí Minh 700000, Việt Nam","10.798139712404284, 106.67338231121285",Sashimi cá hồi,300000,Full meal,Japanese,250
CƠM KHAY GỖ,"214 Nguyễn Trọng Tuyển, Phú Nhuận, Hồ Chí Minh 700000, Việt Nam","10.798001496888272, 106.67381021605318",Cơm khay ba rọi,80000,Full meal,Vietnamese,780
PAU - Sous vide healthy food,"220/8 Nguyễn Trọng Tuyển, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam","10.798290678360626, 106.67399024563419",Salad ức gà kajun,190000,Healhy meal,Western,380
Here & Now Vegetarian,"220/12 Nguyễn Trọng Tuyển, Phú Nhuận, Hồ Chí Minh, Việt Nam","10.79857388996306, 106.67373980819241",Mì ý sốt nấm cà chua,95000,Healhy meal,Western,520
LONG WANG 183 Lê Văn Sỹ,"183 Đ. Lê Văn Sỹ, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam","10.793141440461882, 106.67057298717009",Nấm đông cô nhân sò điệp,110000,Full meal,Chinese,250
Khoai lang mật Đà Lạt Nướng Ritaki,"420/11 Huỳnh Văn Bánh, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam","10.792522359974967, 106.6695052889845",Khoai lang nướng Đà Lạt,60000,Snack,Vietnamese,180
Mầm Vegetarian - Nhà hàng chay Mầm,"197 Đ. Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam","10.797491444352024, 106.67287641784877",Súp rong biển,60000,Healhy meal,Vietnamese,120
"NT Food - Phở, Lẩu Tứ Xuyên, Món Tiềm QL50","1130 QL50, Bình Hưng, Hồ Chí Minh 700000, Việt Nam","10.71090865096212, 106.65463605536553",Phở bò,40000,Full meal,Vietnamese,450
Mr. Pokki Korean Bình Chánh,"1J Đường số 12, Khu dân cư phong Phú 4, Bình Hưng, Hồ Chí Minh, Việt Nam","10.695851155795665, 106.64681045760436",Mì kim chi bò,55000,Full meal,Korean,620
Hủ Tiếu Cá Tài Ký,"185A Tân Sơn Nhì, P. Tân Sơn Nhì,  Quận Tân Phú, TP. HCM","10.799535532897528, 106.6322971865136",Hủ tiếu mì,35000,Full meal,Vietnamese,520
Chay Sen Quán,"198D QL50, Bình Hưng, Hồ Chí Minh 70000, Việt Nam","10.701952122687652, 106.65371760219698",Bún Huế,30000,Full meal,Vietnamese,480
KFC-Nhà hàng thức ăn nhanh,"14 Phạm Ngọc Thạch, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.783632685225546, 106.69513702202225",Combo Mỳ ý Gà rán ,95000,Fast food,Western,950
Ẩm Thực Quê Nhà Quận 3,"28 Phạm Ngọc Thạch, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.784581881243309, 106.69401299390023",Cơm cháy quê nhà ,179000,Full meal,Vietnamese,430
Anh Coffee Roastery,"200 Pasteur, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.783086805049845, 106.69348716799355",Salad Cá hồi hun khói ,120000,Healthy meal,Western,350
TIAN LONG 130A Nguyễn Đình Chiểu,"130A Nguyễn Đình Chiểu, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.783817587852605, 106.69484901463119",Lẩu Bò ,1323000,Full meal,Chinese,750
LONG WANG Hồ Con Rùa,"11 Phạm Ngọc Thạch, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.783012867318986, 106.69550743496447",Gà ta hầm sâm,155000,Full meal,Vietnamese,520
Mille Mille,"32 Trần Cao Vân, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.783750950637296, 106.69627265588277",Banana Nutella Croissant ,80000,Snack,Dessert,420
Truyền Thuyết ChamPong Quận 1 - 전설의짬뽕 1군점,"20 Trần Cao Vân, Sài Gòn, Hồ Chí Minh 700000, Việt Nam","10.784496963548106, 106.69737380744004",Mì tương đen ,150000,Full meal ,Korean,600
Bánh Mì 362,"25 Trần Cao Vân, Sài Gòn, Hồ Chí Minh 70000, Việt Nam","10.78397701935204, 106.69741485582466",Bánh mì ốp la ,49000,Full meal ,Vietnamese,500
Mellow Beans Cafe,"1 Công trường Quốc Tế, Xuân Hòa, Hồ Chí Minh, Việt Nam","10.782013357644608, 106.69586910892384",Matcha latte ,55000,Drink ,Dessert,220
OKKIO Caffe - Duy Tân,"41/1 Phạm Ngọc Thạch, Xuân Hòa, Hồ Chí Minh, Việt Nam","10.784654017532283, 106.69325118348522",Cold Brew Coffe,75000,Drink ,Dessert,20
Pizza 4P's Hai Bà Trưng,"151A-151B, Hai Bà Trưng, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.783171300991725, 106.69707913501269",Phô mai Burrata thịt nguội ,298000,Fast food,Western,520
Nhà Hàng Chang Kang Kung Lê Qúy Đôn,"14 Lê Quý Đôn, Xuân Hòa, Hồ Chí Minh, Việt Nam","10.781242404138228, 106.69128240742856",Trứng cá chuỗi ngọc hấp chuối ,125000,Full meal,Vietnamese,350
Sukiya Pasteur,"224C Pasteur, Xuân Hòa, Hồ Chí Minh, Việt Nam","10.784314631897121, 106.69197131078414",Mì bò điểm tâm,40000,Full meal ,Japanese ,560
Lạc Café,"208/1 Nam Kỳ Khởi Nghĩa, Xuân Hòa, Hồ Chí Minh 100000, Việt Nam","10.78309337125608, 106.69134595394999",Sữa Socola,40000,Drink,Dessert,190
TOUS les JOURS - Hai Bà Trưng,"180 Hai Bà Trưng, Tân Định, Hồ Chí Minh 700000, Việt Nam","10.786274356244174, 106.6943073221685",Trà dưa lưới ,65000,Drink ,Dessert,150
